airport,city,country,iata
"Aalborg Airport",Aalborg,Denmark,AAL
"Aarhus Airport",Aarhus,Denmark,AAR
"Lehigh Valley International Airport",Allentown,"United States",ABE
"Abilene Regional Airport",Abilene,"United States",ABI
"Felix-Houphouet-Boigny International Airport",Abidjan,"Ivory Coast",ABJ
"Albuquerque International Sunport",Albuquerque,"United States",ABQ
"Aberdeen Regional Airport",Aberdeen,"United States",ABR
"Nnamdi Azikiwe International Airport",Abuja,Nigeria,ABV
"Albury Airport",Albury,Australia,ABX
"Southwest Georgia Regional Airport",Albany,"United States",ABY
"Aberdeen International Airport",Aberdeen,"United Kingdom",ABZ
"General Juan N. Alvarez International Airport",Acapulco,Mexico,ACA
"Kotoka International Airport",Accra,Ghana,ACC
"Lanzarote Airport",Arrecife,Spain,ACE
"Nantucket Memorial Airport",Nantucket,"United States",ACK
"Waco Regional Airport",Waco,"United States",ACT
"Arcata-Eureka Airport",Arcata,"United States",ACV
"Atlantic City International Airport","Atlantic City","United States",ACY
"Adana Sakirpasa Airport",Adana,Turkey,ADA
"Adnan Menderes Airport",Izmir,Turkey,ADB
"Addis Ababa Bole International Airport","Addis Ababa",Ethiopia,ADD
"Adak Airport",Adak,"United States",ADK
"Adelaide Airport",Adelaide,Australia,ADL
"Kodiak Airport",Kodiak,"United States",ADQ
"Gustavo Rojas Pinilla International Airport","San Andres",Colombia,ADZ
"Aeroparque Jorge Newbery","Buenos Aires",Argentina,AEP
"Sochi International Airport",Sochi,Russia,AER
"Alesund Airport",Alesund,Norway,AES
"Alexandria International Airport",Alexandria,"United States",AEX
"Akureyri Airport",Akureyri,Iceland,AEY
"Agadir Al Massira Airport",Agadir,Morocco,AGA
"Malaga-Costa del Sol Airport",Malaga,Spain,AGP
"Augusta Regional Airport",Augusta,"United States",AGS
"Aguascalientes International Airport",Aguascalientes,Mexico,AGU
"Abha International Airport",Abha,"Saudi Arabia",AHB
"Alghero-Fertilia Airport",Alghero,Italy,AHO
"Ajaccio Napoleon Bonaparte Airport",Ajaccio,France,AJA
"Al-Jouf Domestic Airport",Al-Jouf,"Saudi Arabia",AJF
"Santa Maria Airport",Aracaju,Brazil,AJU
"Asahikawa Airport",Asahikawa,Japan,AKJ
"Auckland Airport",Auckland,"New Zealand",AKL
"King Salmon Airport","King Salmon","United States",AKN
"Aktobe Airport",Aktobe,Kazakhstan,AKX
"Almaty International Airport",Almaty,Kazakhstan,ALA
"Albany International Airport",Albany,"United States",ALB
"Alicante-Elche Airport",Alicante,Spain,ALC
"Houari Boumediene Airport",Algiers,Algeria,ALG
"Waterloo Regional Airport",Waterloo,"United States",ALO
"Walla Walla Regional Airport","Walla Walla","United States",ALW
"Borg el Arab Airport",Alexandria,Egypt,ALY
"Rick Husband Amarillo International Airport",Amarillo,"United States",AMA
"Sardar Vallabhbhai Patel International Airport",Ahmedabad,India,AMD
"Queen Alia International Airport",Amman,Jordan,AMM
"Pattimura Airport",Ambon,Indonesia,AMQ
"Amsterdam Airport Schiphol",Amsterdam,Netherlands,AMS
"Ted Stevens Anchorage International Airport",Anchorage,"United States",ANC
"Cerro Moreno International Airport",Antofagasta,Chile,ANF
"Antwerp International Airport",Antwerp,Belgium,ANR
"V.C. Bird International Airport","St. John's","Antigua and Barbuda",ANU
"Ancona Falconara Airport",Ancona,Italy,AOI
"Aomori Airport",Aomori,Japan,AOJ
"Alpena County Regional Airport",Alpena,"United States",APN
"Faleolo International Airport",Apia,Samoa,APW
"King Hussein International Airport",Aqaba,Jordan,AQJ
"Rodriguez Ballon International Airport",Arequipa,Peru,AQP
"Chacalluta International Airport",Arica,Chile,ARI
"Armidale Airport",Armidale,Australia,ARM
"Stockholm Arlanda Airport",Stockholm,Sweden,ARN
"Watertown International Airport",Watertown,"United States",ART
"Ashgabat International Airport",Ashgabat,Turkmenistan,ASB
"Aspen/Pitkin County Airport",Aspen,"United States",ASE
"Asmara International Airport",Asmara,Eritrea,ASM
"Alice Springs Airport","Alice Springs",Australia,ASP
"Erkilet International Airport",Kayseri,Turkey,ASR
"Silvio Pettirossi International Airport",Asuncion,Paraguay,ASU
"Aswan International Airport",Aswan,Egypt,ASW
"Athens International Airport",Athens,Greece,ATH
"Hartsfield-Jackson Atlanta International Airport",Atlanta,"United States",ATL
"Sri Guru Ram Dass Jee International Airport",Amritsar,India,ATQ
"Appleton International Airport",Appleton,"United States",ATW
"Queen Beatrix International Airport",Oranjestad,Aruba,AUA
"Augusta State Airport",Augusta,"United States",AUG
"Abu Dhabi International Airport","Abu Dhabi","United Arab Emirates",AUH
"Austin-Bergstrom International Airport",Austin,"United States",AUS
"Asheville Regional Airport",Asheville,"United States",AVL
"Wilkes-Barre/Scranton International Airport",Wilkes-Barre,"United States",AVP
"Avalon Airport",Geelong,Australia,AVV
"Akita Airport",Akita,Japan,AXT
"Ayers Rock Connellan Airport",Yulara,Australia,AYQ
"Antalya Airport",Antalya,Turkey,AYT
"Kalamazoo/Battle Creek International Airport",Kalamazoo,"United States",AZO
"Bahrain International Airport",Manama,Bahrain,BAH
"Ernesto Cortissoz International Airport",Barranquilla,Colombia,BAQ
"Balmaceda Airport",Balmaceda,Chile,BBA
"Biju Patnaik International Airport",Bhubaneswar,India,BBI
"Bacolod-Silay Airport",Bacolod,Philippines,BCD
"Barcelona-El Prat Airport",Barcelona,Spain,BCN
"L.F. Wade International Airport","St. George's",Bermuda,BDA
"Bundaberg Airport",Bundaberg,Australia,BDB
"Bradley International Airport",Hartford,"United States",BDL
"Husein Sastranegara International Airport",Bandung,Indonesia,BDO
"Vadodara Airport",Vadodara,India,BDQ
"Brindisi Airport",Brindisi,Italy,BDS
"Belgrade Nikola Tesla Airport",Belgrade,Serbia,BEG
"Val de Cans International Airport",Belem,Brazil,BEL
"Benina International Airport",Benghazi,Libya,BEN
"Berlin Brandenburg Airport",Berlin,Germany,BER
"Bethel Airport",Bethel,"United States",BET
"Beira Airport",Beira,Mozambique,BEW
"Rafic Hariri International Airport",Beirut,Lebanon,BEY
"Meadows Field Airport",Bakersfield,"United States",BFL
"Bram Fischer International Airport",Bloemfontein,"South Africa",BFN
"Belfast International Airport",Belfast,"United Kingdom",BFS
"Palonegro International Airport",Bucaramanga,Colombia,BGA
"Bangui M'Poko International Airport",Bangui,"Central African Republic",BGF
"Grantley Adams International Airport",Bridgetown,Barbados,BGI
"Greater Binghamton Airport",Binghamton,"United States",BGM
"Bergen Flesland Airport",Bergen,Norway,BGO
"Bangor International Airport",Bangor,"United States",BGR
"Baghdad International Airport",Baghdad,Iraq,BGW
"Milan Bergamo Airport",Bergamo,Italy,BGY
"Hancock County-Bar Harbor Airport","Bar Harbor","United States",BHB
"George Best Belfast City Airport",Belfast,"United Kingdom",BHD
"Blenheim Airport",Blenheim,"New Zealand",BHE
"Bukhara International Airport",Bukhara,Uzbekistan,BHK
"Birmingham-Shuttlesworth International Airport",Birmingham,"United States",BHM
"Raja Bhoj Airport",Bhopal,India,BHO
"Birmingham Airport",Birmingham,"United Kingdom",BHX
"Bastia Poretta Airport",Bastia,France,BIA
"Billings Logan International Airport",Billings,"United States",BIL
"Bilbao Airport",Bilbao,Spain,BIO
"Biarritz Airport",Biarritz,France,BIQ
"Bismarck Airport",Bismarck,"United States",BIS
"Bemidji Regional Airport",Bemidji,"United States",BJI
"Bujumbura International Airport",Bujumbura,Burundi,BJM
"Bahir Dar Airport","Bahir Dar",Ethiopia,BJR
"Milas-Bodrum Airport",Bodrum,Turkey,BJV
"Del Bajio International Airport",Leon,Mexico,BJX
"Kota Kinabalu International Airport","Kota Kinabalu",Malaysia,BKI
"Suvarnabhumi Airport",Bangkok,Thailand,BKK
"Bamako-Senou International Airport",Bamako,Mali,BKO
"General Jose Antonio Anzoategui International Airport",Barcelona,Venezuela,BLA
"Bellingham International Airport",Bellingham,"United States",BLI
"Billund Airport",Billund,Denmark,BLL
"Bologna Guglielmo Marconi Airport",Bologna,Italy,BLQ
"Kempegowda International Airport",Bangalore,India,BLR
"Chileka International Airport",Blantyre,Malawi,BLZ
"Stockholm Bromma Airport",Stockholm,Sweden,BMA
"Broome International Airport",Broome,Australia,BME
"Central Illinois Regional Airport",Bloomington,"United States",BMI
"Buon Ma Thuot Airport","Buon Ma Thuot",Vietnam,BMV
"Nashville International Airport",Nashville,"United States",BNA
"Brisbane Airport",Brisbane,Australia,BNE
"Ballina Byron Gateway Airport",Ballina,Australia,BNK
"Bora Bora Airport","Bora Bora","French Polynesia",BOB
"Bordeaux-Merignac Airport",Bordeaux,France,BOD
"El Dorado International Airport",Bogota,Colombia,BOG
"Bournemouth Airport",Bournemouth,"United Kingdom",BOH
"Boise Airport",Boise,"United States",BOI
"Burgas Airport",Burgas,Bulgaria,BOJ
"Chhatrapati Shivaji Maharaj International Airport",Mumbai,India,BOM
"Flamingo International Airport",Kralendijk,Bonaire,BON
"Bodo Airport",Bodo,Norway,BOO
"Boston Logan International Airport",Boston,"United States",BOS
"Sultan Aji Muhammad Sulaiman Airport",Balikpapan,Indonesia,BPN
"Porto Seguro Airport","Porto Seguro",Brazil,BPS
"Jack Brooks Regional Airport",Beaumont,"United States",BPT
"San Carlos de Bariloche Airport","San Carlos de Bariloche",Argentina,BRC
"Brainerd Lakes Regional Airport",Brainerd,"United States",BRD
"Bremen Airport",Bremen,Germany,BRE
"Bari Karol Wojtyla Airport",Bari,Italy,BRI
"Bern Airport",Bern,Switzerland,BRN
"Brownsville South Padre Island International Airport",Brownsville,"United States",BRO
"Brno-Turany Airport",Brno,"Czech Republic",BRQ
"Bristol Airport",Bristol,"United Kingdom",BRS
"Brussels Airport",Brussels,Belgium,BRU
"Wiley Post-Will Rogers Memorial Airport",Barrow,"United States",BRW
"Brasilia International Airport",Brasilia,Brazil,BSB
"EuroAirport Basel Mulhouse Freiburg",Basel,Switzerland,BSL
"Basra International Airport",Basra,Iraq,BSR
"Sultan Iskandar Muda International Airport","Banda Aceh",Indonesia,BTJ
"Bert Mooney Airport",Butte,"United States",BTM
"Baton Rouge Metropolitan Airport","Baton Rouge","United States",BTR
"M. R. Stefanik Airport",Bratislava,Slovakia,BTS
"Burlington International Airport",Burlington,"United States",BTV
"Budapest Ferenc Liszt International Airport",Budapest,Hungary,BUD
"Buffalo Niagara International Airport",Buffalo,"United States",BUF
"Hollywood Burbank Airport",Burbank,"United States",BUR
"Batumi International Airport",Batumi,Georgia,BUS
"Atlas Brasil Cantanhede International Airport","Boa Vista",Brazil,BVB
"Gautam Buddha Airport",Bhairahawa,Nepal,BWA
"Baltimore/Washington International Airport",Baltimore,"United States",BWI
"Brunei International Airport","Bandar Seri Begawan",Brunei,BWN
"Philip S. W. Goldson International Airport","Belize City",Belize,BZE
"Bydgoszcz Ignacy Jan Paderewski Airport",Bydgoszcz,Poland,BZG
"Bozeman Yellowstone International Airport",Bozeman,"United States",BZN
"Maya-Maya Airport",Brazzaville,"Republic of the Congo",BZV
"Cagliari Elmas Airport",Cagliari,Italy,CAG
"Cairo International Airport",Cairo,Egypt,CAI
"Akron-Canton Airport",Akron,"United States",CAK
"Guangzhou Baiyun International Airport",Guangzhou,China,CAN
"Cap-Haitien International Airport",Cap-Haitien,Haiti,CAP
"Felix Eboue Airport",Cayenne,"French Guiana",CAY
"Jorge Wilstermann International Airport",Cochabamba,Bolivia,CBB
"Canberra Airport",Canberra,Australia,CBR
"Calicut International Airport",Kozhikode,India,CCJ
"Carriel Sur International Airport",Concepcion,Chile,CCP
"Simon Bolivar International Airport",Caracas,Venezuela,CCS
"Netaji Subhas Chandra Bose International Airport",Kolkata,India,CCU
"Cedar City Regional Airport","Cedar City","United States",CDC
"Guarani International Airport","Ciudad del Este",Paraguay,CDE
"Charles de Gaulle Airport",Paris,France,CDG
"Merle K. Mudhole Smith Airport",Cordova,"United States",CDV
"Mactan-Cebu International Airport",Cebu,Philippines,CEB
"Chiang Rai International Airport","Chiang Rai",Thailand,CEI
"Clermont-Ferrand Auvergne Airport",Clermont-Ferrand,France,CFE
"Coffs Harbour Airport","Coffs Harbour",Australia,CFS
"Corfu International Airport",Corfu,Greece,CFU
"Marechal Rondon International Airport",Cuiaba,Brazil,CGB
"Congonhas Airport","Sao Paulo",Brazil,CGH
"Cape Girardeau Regional Airport","Cape Girardeau","United States",CGI
"Soekarno-Hatta International Airport",Jakarta,Indonesia,CGK
"Cologne Bonn Airport",Cologne,Germany,CGN
"Zhengzhou Xinzheng International Airport",Zhengzhou,China,CGO
