IATA_Code,Airline_English,Airline_Chinese
AA,American Airlines,美国美洲航空
2G,Cargo Italia,
CO,Continental Airlines,美国大陆航空公司
DL,Delta AirLines,美国达美航空公司
NW,North West Airlines,美国西北航空
AC,Air Canada,加拿大航空
UA,United Airlines,美国联合航空
CP,Canadian Airlines Int'l,加拿大国际航空公司
LH,Lufthansa,德国汉莎航空
FX,Fedex Airline,美国联邦航空
AS,Alaska Airlines,阿拉斯加航空公司
US,US Airways,美国航空
RG,Varig,里约格朗德
KA,Dragon Air,港龙航空
LA,Lan Cargo,洛杉矶局域网货物
LA,Lan Cargo,智利航空
TP,TAP AIR PORTUQAL,TAP葡萄牙航空
CY,Cyprus Airways,塞浦路斯航空公司
OA,Olympic Airways,奥林匹克航空公司
AZ,Alitalia,意大利航空公司
AF,Air France,法国航空
IC,INDIAN AIRLINES,印度航空公司
OK,Czech Airlines,捷克航空公司
SV,Saudi Arabia Airlines,沙特阿拉伯航空公司
RB,Syrian Arab Airlines,叙利亚阿拉伯航空公司
ET,Ethiopian airlines,埃塞俄比亚航空
KL,KLM CARGO,荷兰皇家航空
ME,Middle East Airlines,中东航空公司
MS,Egyptair airlines,航空
PO,Polish airlines,波兰航空
QF,Qantas,澳大利亚快达航空
SA,South African Airways,南非航空公司
NZ,Air New Zealand,新西兰航空
IR,Iran air,伊朗航空公司
PR,Philippine airlines,菲律宾航空公司
AI,Air India,印度航空
AY,Finnair cargo,芬兰航空
CK,China Cargo Airlines,中国货运航空公司
LY,El al cargo,以色列航空
JU,Jugoslovenski Aerotransport,南斯拉夫航空运输公司
SK,Sas airlines,北欧航空
JS,Air koryo,朝鲜航空公司
AH,Air algerie,阿尔及利亚航空
BA,British airways,英国航空
GA,Garuda indonesia,印尼航空
MP,Martinair Cargo,荷兰马丁航空
JL,Japan airlines,日本航空
MX,Mexicana,墨西哥
AM,Aeromexico Airlines,墨西哥航空公司
AT,Royal Air Maroc,摩洛哥皇家航空
QR,Qatar airways,卡塔尔航空
CX,Cathay pacific cargo,国泰航空公司
3V,TNT Airways,TNT航空公司
UM,Air zimbabwe,津巴布韦航空
CV,Cargolux airlines,卢森堡航空
EK,Emirates,阿联酋航空
KE,Korean air,大韩航空
DW,Aero-Charter,
JI,Jade Cargo Int'l,翡翠国际货运
FV,Pulkovo aviation enterprise,俄罗斯普尔科沃航空
NH,Ana all nippon airways,全日空航空
PK,Pakistan international airlines,巴基斯坦航空公司
TG,Thai airway,泰国航空
MH,Maskargo,马来西亚航空
JD,Japan Air System,日本航空系统
TK,Turkey airlines,土耳其航空
HY,Uzbekistan airways,乌兹别克斯坦航空
OS,Austrian cargo,奥地利航空
EF,Far Eastern Air Transport,英远东航空运输
XF,Vladivostok air,海参崴航空
LD,Air HongKong,香港航空
OM,Mongolian airlines,蒙古航空公司
CI,China Airlines,中华航空公司
5S,Global Aviation and Services,全球航空服务
SC,ShanDong Airlines,山东航空
PO,Polar air cargo,美国博立航空
JW,ARROW AIR,箭航
5X,Ups air,联合包裹服务公司
5X,UPS Air Cargo,UPS
VI,Airbridge Cargo,伏尔加航空
S7,Siberia airlines,新西伯利亚航空
ER,DHL,敦豪航空
KC,Air astana,哈萨克斯坦航空
ZH,Shenzhen Airlines,深圳航空
8V,Astral Aviation,星际航空
E3,Domodedovo airlines,多莫迪多沃航空
7B,Krasnoyarsk airlines,克拉斯诺雅茨克航空
SU,Aeroflot,俄罗斯航空
WN,Southwest Airlines,西南航空公司
T5,Turkmenistan airlines,土库曼斯坦航空
SU,Aeroflot,俄罗斯航空
RU,Airbridge cargo,伏尔加第聂伯航空
9W,Jet Airways (India) Limited,印度杰特航空公司
UL,Srilankan airlines,斯里兰卡航空公司
EY,Etihad cristal cargo,阿联酋阿提哈德航空
SQ,Singapore airlines,新加坡航空
BT,AIR BALTIC,波罗的海航空
NX,Air macau,澳门航空
BR,EVA AIRWAYS,长荣航空
5C,CAL Cargo Airlines,华航货运航空公司
KQ,Kenya Airways,肯尼亚航空公司
LX,Swiss International Air Lines,瑞士国际航空公司
MF,XiaMen Airlines,厦门航空
VN,Vietnam airlines,越南航空公司
MU,China eastern,中国东方航空
CZ,China southern,中国南方航空
GD,Grandstar Cargo Int'l Airlines Co. Ltd,银河国际货运航空有限公司
8Y,China postal airlines,中国邮政航空
KN,China United Airlines,中国联航
D7,AIRASIA,亚航
N8,Hong Kong Airlines,香港航空
VV,Aerosvit airlines,乌克兰航空
Y8,Yangtze River Express Co. Ltd,扬子江快运航空有限公司
3U,SiChuan Airlines,四川航空
HU,Hainan airlines cargo,海南航空
QN,Air Armenia,亚美尼亚航空
VS,Virgin Atlantic Airways Ltd,维珍航空公司
KZ,Nippon cargo airlines,日本货物航空
OZ,Asiana airlines,韩亚航空
IJ,Great Wall Airlines,长城航空
D5,DHL AERO EXPRESO,敦豪航空快报
UX,AIR EUROPA CARGO,欧洲货运航空
CA,Air china,中国国际航空
EMS,EMS,全球邮政特快专递
FEDEX,FEDEX,FEDEX
TransAsia Airways,复兴航空,
Juneyao Airlines,吉祥航空,
****** AIRLINES,春秋航空,
Chinaxinhua Airlines,中国新华航空公司,
Evergeen Int Airlines,美国长青国际航空公司,
